positive,negative,rating,comments,category,comments_preprocessed
,"Razočaran, apartman u drugoj zgradi ne u toj gde sam rezervisao a niko me o tome nije obavestio. Bitno im je izgleda samo da uzmu novac. Tuš kabina premalena,vrata na tuš kabini spala tokom tuširanja,vrata od frižidera skoro pa otpala,svetlo kada klikneš na prekidač da ga upališ samo što ne eksplodira a svetlo svakako ne radi blinka samo kao da ste u diskoteci. Kada sam otvorio ladicu u kojoj stoje noževi  viljuške i kašike da uzmem kašiku morao sam prvo da je operem pa zatim da istu koristim,neverovatno. A prilikom odjavljivanja niko se nije udostojio da te pita kakav je bio boravak da li je sve bilo u redu, ipak ste dobili sobu u drugoj zgradi, jeste li zadovoljni. Ne preporučujem nikom da boravi u ovom smeštaju.",1," Razočaran, apartman u drugoj zgradi ne u toj gde sam rezervisao a niko me o tome nije obavestio. Bitno im je izgleda samo da uzmu novac. Tuš kabina premalena,vrata na tuš kabini spala tokom tuširanja,vrata od frižidera skoro pa otpala,svetlo kada klikneš na prekidač da ga upališ samo što ne eksplodira a svetlo svakako ne radi blinka samo kao da ste u diskoteci. Kada sam otvorio ladicu u kojoj stoje noževi  viljuške i kašike da uzmem kašiku morao sam prvo da je operem pa zatim da istu koristim,neverovatno. A prilikom odjavljivanja niko se nije udostojio da te pita kakav je bio boravak da li je sve bilo u redu, ipak ste dobili sobu u drugoj zgradi, jeste li zadovoljni. Ne preporučujem nikom da boravi u ovom smeštaju.",negativan,razočaran apartman drugi zgrada rezervisati obavestiti bitno izgleda uzmati novac tuš kabina premalenavrat tuš kabina spasti tokom tuširanjavrat frižider skoro otpalasveti klikneti prekidač upaliti eksplodirati svetlo svakako raditi blizak kao diskoteka otvoriti ladica stajati nožev viljuški kašika uzmeti kašika morati operati zatim isti koristimneverovati prilikom odjavljivanje udostojiti piti kakav boravak sav red ipak soba drugi zgrada zadovoljan preporučivati boraviti ovaj smeštati
Lokacija je dobra,"Cena na na sajtu i vlasnikova se razlikovala ,jos je i dodatno naplatio parking u objektu.",2,"Lokacija je dobra Cena na na sajtu i vlasnikova se razlikovala ,jos je i dodatno naplatio parking u objektu.",negativan,lokacija dobar cena sajta vlasnik razlikovati jos dodatno naplatiti parking objekt
Nista,"Neko nas je prevario ili Booking ili hotel , kad sam rezervisao sobu kao Genius korisnik pisalo 51 e , cim sam obavio rezervaciju izbacio je novi iznos 59 e ! A naplatili su mi iz hotela 63 e i to dan pre dolaska , prava lakrdija ! Napominjem da sam genius korisnik treci nivo i da 10 ak godina putujem preko  Bookinga i ovakvo menjanje cjena nisam nikad video , sreca da su mali iznosi jer sam rezervisao samo jednu noc ali sramota je varati svoje redovne korisnike usluga !",2,"Nista Neko nas je prevario ili Booking ili hotel , kad sam rezervisao sobu kao Genius korisnik pisalo 51 e , cim sam obavio rezervaciju izbacio je novi iznos 59 e ! A naplatili su mi iz hotela 63 e i to dan pre dolaska , prava lakrdija ! Napominjem da sam genius korisnik treci nivo i da 10 ak godina putujem preko  Bookinga i ovakvo menjanje cjena nisam nikad video , sreca da su mali iznosi jer sam rezervisao samo jednu noc ali sramota je varati svoje redovne korisnike usluga !",negativan,nista prevariti booking hotel kad rezervisati soba kao genius korisnik pisati e obaviti rezervacija izbaciti nov iznos e naplatiti hotel e dan dolazak pravo lakrdija napominjati genius korisnik treciti nivo ak godina putovati booking ovakav menjanje cjena nikad video sreca mali iznositi rezervisati noc sramota varati redovan korisnik usluga
Nista specijalno,"Parking nije na istoj lokaciji kao i hotel, a ujedno je i uzasan. Preuzak parking jedva se prolazi, pritom ga naplacuju 20€ dnevno sto je preskupo. Soba mala, na recepciji nikog nema od zaposlenih. Losa usluga, ne bih preporucila nikome.",3,"Nista specijalno Parking nije na istoj lokaciji kao i hotel, a ujedno je i uzasan. Preuzak parking jedva se prolazi, pritom ga naplacuju 20€ dnevno sto je preskupo. Soba mala, na recepciji nikog nema od zaposlenih. Losa usluga, ne bih preporucila nikome.",negativan,nista specijalno parking isti lokacija kao hotel ujedno uzasan preuzak parking jedva prolaziti prita naplacovati dnevno sto preskupi soba mali recepcija nemati zaposlen losa usluga preporuciti e
"Lokacija perfektna, krevet preudoban..",Cistoca na jako losem nivou!,1,"Lokacija perfektna, krevet preudoban.. Cistoca na jako losem nivou!",negativan,lokacija perfektan krevet preudoban cistoc jako los nivo
Uredno,"U prizemlju je sala za proslave.Nenormalna buka ,za odmoriti se i naspavati vikendom tesko.",3,"Uredno U prizemlju je sala za proslave.Nenormalna buka ,za odmoriti se i naspavati vikendom tesko.",negativan,uredan prizemlje sala proslavenenormalan buka odmoriti naspavati vikenda tesko
osoblje ljubazno,"cela soba oseća na farbu, smrdi wc, jedan peškir je prljav čak još mokar. hteli smo da promenimo sobu ali nažalost je hotel pun, odjavili smo se u 1 ujutro jer ne mogu zaspati zbog neprijatnog mirisa farbe.",2,"osoblje ljubazno cela soba oseća na farbu, smrdi wc, jedan peškir je prljav čak još mokar. hteli smo da promenimo sobu ali nažalost je hotel pun, odjavili smo se u 1 ujutro jer ne mogu zaspati zbog neprijatnog mirisa farbe.",negativan,osoblje ljubazan ceo soba osećati farba smrda wc peškir prljav čak mokar promeniti soba nažalost hotel pun odjaviti ujutro moći zaspati zbog neprijatan miris farba
"Me gustó la ubicación céntrica del hotel y el desayuno adecuado que ofrecían. Las habitaciones y el baño estaban también en línea con lo que esperaba para su categoría.

I liked the hotel’s central location and the decent breakfast they provided. The rooms and bathroom were also in line with what I expected for their category.

Допадла ми се централна локација хотела и прихватљив доручак који су нудили. Собе и купатило такође одговарају категорији.","Sin embargo, tuvimos un problema significativo en el segundo día de nuestra estancia. La temperatura de la habitación era incómoda, llegando a los 27 grados Celsius. La calefacción del hotel es central y cuando la encendieron, nuestro aparato de aire acondicionado producía un ruido fuerte y molesto que nos impidió dormir durante toda la noche. Dado que este problema no fue solucionado, nuestra evaluación general de la estancia es negativa.

However, we encountered a significant issue on the second day of our stay. The room temperature was uncomfortable, reaching 27 degrees Celsius. The hotel’s heating is centrally controlled, and when they activated it, our air conditioning unit produced a loud, disruptive noise that prevented us from sleeping throughout the night. Since this problem was not resolved, our overall assessment of the stay is negative.

Међутим, сусрели смо се са значајним проблемом другог дана нашег боравка. Температура у соби била је непријатних 27 степени Целзијуса. Грејање у хотелу је централно и када су га активирали, наш уређај за климатизацију је производио гласну и сметајућу буку која нас је спречила да спавамо целе ноћи. Пошто овај проблем није био решен, наше укупно оцењивање боравка је негативно.",3,"Me gustó la ubicación céntrica del hotel y el desayuno adecuado que ofrecían. Las habitaciones y el baño estaban también en línea con lo que esperaba para su categoría.

I liked the hotel’s central location and the decent breakfast they provided. The rooms and bathroom were also in line with what I expected for their category.

Допадла ми се централна локација хотела и прихватљив доручак који су нудили. Собе и купатило такође одговарају категорији. Sin embargo, tuvimos un problema significativo en el segundo día de nuestra estancia. La temperatura de la habitación era incómoda, llegando a los 27 grados Celsius. La calefacción del hotel es central y cuando la encendieron, nuestro aparato de aire acondicionado producía un ruido fuerte y molesto que nos impidió dormir durante toda la noche. Dado que este problema no fue solucionado, nuestra evaluación general de la estancia es negativa.

However, we encountered a significant issue on the second day of our stay. The room temperature was uncomfortable, reaching 27 degrees Celsius. The hotel’s heating is centrally controlled, and when they activated it, our air conditioning unit produced a loud, disruptive noise that prevented us from sleeping throughout the night. Since this problem was not resolved, our overall assessment of the stay is negative.

Међутим, сусрели смо се са значајним проблемом другог дана нашег боравка. Температура у соби била је непријатних 27 степени Целзијуса. Грејање у хотелу је централно и када су га активирали, наш уређај за климатизацију је производио гласну и сметајућу буку која нас је спречила да спавамо целе ноћи. Пошто овај проблем није био решен, наше укупно оцењивање боравка је негативно.",negativan,gust la ubicacin cntrica del hotel y el desayuno adecuado que ofrecati las habitaciones y el bao estaban tambin en lnea con lo que esperab par categor liked the hotels central location and the decent breakfast they provided the rooms and bathroom were also in line with what expected for their category sin embargo tuvimosti un problem significativo en el segundo de nuestar estancia la temperatura de la habitacin era incmoda llegando los grados celsius la calefaccin del hotel es central y cuando la encendieron nuestro aparato de aire acondicionadi produca un ruido fuert y molesto que nos impiditi dormir durant toda la noche dado que este problem no fue solucionadi nuestar evaluacin general de la estancia es negativ however we encountered significant issue the second day of our stay the room temperatura was uncomfortable reaching degrees celsius the hotels heating is centrally controlled and when they activated it our air conditioning unit produced loud disruptive noise that prevented us from sleeping throughout the night since this problem was not resolved our overall assessment of the stay is negative
Jedino što je čisto,"Radi se o kući, izuvanje na samom ulazu, šetanje po kući bez papuča koje bi trebali da imaju ako je već obaveza izuvanja. Onda, zajedničko kupatilo za sve goste što mi se ne sviđa kao i zajednički dnevni boravak.",3,"Jedino što je čisto Radi se o kući, izuvanje na samom ulazu, šetanje po kući bez papuča koje bi trebali da imaju ako je već obaveza izuvanja. Onda, zajedničko kupatilo za sve goste što mi se ne sviđa kao i zajednički dnevni boravak.",negativan,jedino čisto raditi kuća izuvanje ulaz šetanje kuća papuč trebati imati obaveza izuvanje onda zajednički kupatilo sav gosta sviđati kao zajednički dnevni borava k
Odlična lokacija i smeštaj.,Nisam mogao da udjem na vrata. Laminat se podigao! Skandal!!!,3,Odlična lokacija i smeštaj. Nisam mogao da udjem na vrata. Laminat se podigao! Skandal!!!,negativan,odličan lokacija smeštaj moći udjeti vrata laminat podići skandal
