positive,negative,rating,comments,category,comments_preprocessed
"Osoblje,higijena,smestaj sve na visokom nivou.
Tako da sledeci boravak u Bg.samo kod vas",,10,"Osoblje,higijena,smestaj sve na visokom nivou.
Tako da sledeci boravak u Bg.samo kod vas ",pozitivan,osobljehigijenasmestaj sav visok nivo slediti boravak bgsamo kod
"Odličan, prostran i udoban apartman, super lokacija, ima svoj parking. Sve preporuke.",,10,"Odličan, prostran i udoban apartman, super lokacija, ima svoj parking. Sve preporuke. ",pozitivan,odličan prostran udoban apartman super lokacija imati parking sav preporuka
"Odlična lokacija, vrhunski opremljeni apartmani!",,10,"Odlična lokacija, vrhunski opremljeni apartmani! ",pozitivan,odličan lokacija vrhunski opremiti apartman
"Odlicna lokacija, izuzetno uredno i cisto. Vrlo komforan porodicni apartman. Pohvale za ljubazno osoblje, posebno hvala gospodjici Isidori.
Sve preporuke.",Ulaz u garazu moze biti problematican za niza auta.,10,"Odlicna lokacija, izuzetno uredno i cisto. Vrlo komforan porodicni apartman. Pohvale za ljubazno osoblje, posebno hvala gospodjici Isidori.
Sve preporuke. Ulaz u garazu moze biti problematican za niza auta.",pozitivan,odlican lokacija izuzetno uredno cisto komforan porodican apartman pohvati ljubazan osoblje posebno hvati gospodjika isidor sav preporuka ulaz garaz problematican niz aut
"Odlična lokacija, čisto i udobno,pohvale",,10,"Odlična lokacija, čisto i udobno,pohvale ",pozitivan,odličan lokacija čisto udobnopohvati
Uvijek na visini zadatka.,"Gosti u apartmanu iznad mog su pravili haos do jutra, pa se nije moglo odmoriti. Ali to nije problem do objekta.",8,"Uvijek na visini zadatka. Gosti u apartmanu iznad mog su pravili haos do jutra, pa se nije moglo odmoriti. Ali to nije problem do objekta.",pozitivan,uvijek visina zadatak gost apartman iznad praviti haos do jutar moći odmoriti problem do objekt
"Velicina prostora, udobnost","Centralno grejanje u nasem apartmanu nije radilo, iako su cevi do radijatora bile tople, radijatori su bili hladni pa smo se grejali na klimu. masina za sudove nije radila.",9,"Velicina prostora, udobnost Centralno grejanje u nasem apartmanu nije radilo, iako su cevi do radijatora bile tople, radijatori su bili hladni pa smo se grejali na klimu. masina za sudove nije radila.",pozitivan,velicina prostor udobnost centralan grejanje apartman raditi ceva do radijator topao radijator hladni grejati klima masina sud raditi
"Usluga i smestaj za sve pohvale.
Devojke na recepciji su jako fine i profesionalne. Cistoca top. Sve nam je bilo blizu i definitivno cemo doci opet.",,10,"Usluga i smestaj za sve pohvale.
Devojke na recepciji su jako fine i profesionalne. Cistoca top. Sve nam je bilo blizu i definitivno cemo doci opet. ",pozitivan,usluga smestaj sav pohvati devojka recepcija jako fina profesionalan cistoc top sav definitivno dot opet
Lokacija je odlična.,Nema lift,9,Lokacija je odlična. Nema lift,pozitivan,lokacija odličan nemati lift
Apsolutno sve! Od osoblja do jedinice. Čistoca na prvom mestu. Veliki prostor. Novo.,Nemam zamerki! Po prvi put...,10,Apsolutno sve! Od osoblja do jedinice. Čistoca na prvom mestu. Veliki prostor. Novo. Nemam zamerki! Po prvi put...,pozitivan,apsolutno sav osoblje do jedinica čistoc mesto velik prostor nov nemati zamerka
