positive,negative,rating,comments
"Osoblje,higijena,smestaj sve na visokom nivou.
Tako da sledeci boravak u Bg.samo kod vas",,10,"Osoblje,higijena,smestaj sve na visokom nivou.
Tako da sledeci boravak u Bg.samo kod vas "
"Odličan, prostran i udoban apartman, super lokacija, ima svoj parking. Sve preporuke.",,10,"Odličan, prostran i udoban apartman, super lokacija, ima svoj parking. Sve preporuke. "
"Odlična lokacija, vrhunski opremljeni apartmani!",,10,"Odlična lokacija, vrhunski opremljeni apartmani! "
"Odlicna lokacija, izuzetno uredno i cisto. Vrlo komforan porodicni apartman. Pohvale za ljubazno osoblje, posebno hvala gospodjici Isidori.
Sve preporuke.",Ulaz u garazu moze biti problematican za niza auta.,10,"Odlicna lokacija, izuzetno uredno i cisto. Vrlo komforan porodicni apartman. Pohvale za ljubazno osoblje, posebno hvala gospodjici Isidori.
Sve preporuke. Ulaz u garazu moze biti problematican za niza auta."
"Odlična lokacija, čisto i udobno,pohvale",,10,"Odlična lokacija, čisto i udobno,pohvale "
Uvijek na visini zadatka.,"Gosti u apartmanu iznad mog su pravili haos do jutra, pa se nije moglo odmoriti. Ali to nije problem do objekta.",8,"Uvijek na visini zadatka. Gosti u apartmanu iznad mog su pravili haos do jutra, pa se nije moglo odmoriti. Ali to nije problem do objekta."
"Velicina prostora, udobnost","Centralno grejanje u nasem apartmanu nije radilo, iako su cevi do radijatora bile tople, radijatori su bili hladni pa smo se grejali na klimu. masina za sudove nije radila.",9,"Velicina prostora, udobnost Centralno grejanje u nasem apartmanu nije radilo, iako su cevi do radijatora bile tople, radijatori su bili hladni pa smo se grejali na klimu. masina za sudove nije radila."
"Usluga i smestaj za sve pohvale.
Devojke na recepciji su jako fine i profesionalne. Cistoca top. Sve nam je bilo blizu i definitivno cemo doci opet.",,10,"Usluga i smestaj za sve pohvale.
Devojke na recepciji su jako fine i profesionalne. Cistoca top. Sve nam je bilo blizu i definitivno cemo doci opet. "
Lokacija je odlična.,Nema lift,9,Lokacija je odlična. Nema lift
Apsolutno sve! Od osoblja do jedinice. Čistoca na prvom mestu. Veliki prostor. Novo.,Nemam zamerki! Po prvi put...,10,Apsolutno sve! Od osoblja do jedinice. Čistoca na prvom mestu. Veliki prostor. Novo. Nemam zamerki! Po prvi put...
"Preporuka za profesionalnost i uslugu!
Apartmani koji se nalaze u centru Beograda, čistoća i odlična cena.
Svakako da naglasim i sve pohvale za uslugu transfera .
Vidimo se opet uskoro!!",,10,"Preporuka za profesionalnost i uslugu!
Apartmani koji se nalaze u centru Beograda, čistoća i odlična cena.
Svakako da naglasim i sve pohvale za uslugu transfera .
Vidimo se opet uskoro!! "
